Ref,Qty,Value/Part,Package,Description,Notes
U1,1,ESP32-WROOM-32E (4MB),SMD module,Wi-Fi/BLE MCU module,Main controller
PS1,1,HLK-PM12 (12V 3W),SIP,230VAC -> 12VDC isolated PSU,Strike + logic
U2,1,AMS1117-3.3,SOT-223,5V -> 3.3V LDO,MCU rail
U3,1,PC817,DIP-4,Opto-isolator,Lock relay drive
Q1,1,S8050,SOT-23,NPN relay driver,
D1,1,1N4007,DO-41,Flyback diode,Across the coil
D2,1,1N4007,DO-41,Strike freewheel,Across the strike terminals
K1,1,SRD-05VDC-SL-C,THT relay,5V SPDT 10A,Electric strike / deadbolt
RV1,1,7D471K,disc,MOV 470V,Mains surge clamp
F1,1,1A slow-blow,5x20 holder,Mains fuse,
LED0,1,Green 3mm,THT,Power/online,
LED1,1,Red 3mm,THT,Locked indicator,IO2
SW1,1,6mm tactile,THT,Reset / BOOT,IO0
J1,1,2P 5.08mm,terminal,Mains input L/N,
J2,1,3P 5.08mm,terminal,Strike output + 12V return,Fail-secure wiring
J3,1,4P 2.54mm,header,Fingerprint module (5V/RX/TX/GND),Serial2
J4,1,4P 2.54mm,header,Keypad rows R1-R3,4x4 membrane
J5,1,4P 2.54mm,header,Keypad row R4 + cols C1-C2,4x4 membrane
J6,1,4P 2.54mm,header,Keypad cols C3-C4 + calling bell,Bell button
JP,1,3P 2.54mm,header,UART (TX/RX/GND),Factory flashing
R1-R14,14,10k/1k/330,0805,Pull-ups/base/LED resistors,
C1,1,470uF/10V,electrolytic,12V bulk,
C2,1,100uF/6.3V,electrolytic,3.3V rail,
C3-C8,6,100nF,0805,Decoupling,
PCB,1,2-layer FR4 1.6mm,-,Main board,>=8mm mains-LV creepage; 2oz Cu
ENC,1,ABS module (UL94 V-0),-,Door-frame enclosure,Keypad + reader face out
