Ref,Qty,Value/Part,Package,Description,Notes
U1,1,ESP32-WROOM-32E (4MB),SMD module,Wi-Fi/BLE MCU module,Main controller
PS1,1,HLK-PM03 (5V 3W),SIP,230VAC -> 5VDC isolated PSU,Sized for 4 relay coils
U2,1,AMS1117-3.3,SOT-223,5V -> 3.3V LDO,MCU rail
U3-U6,4,PC817,DIP-4,Opto-isolators,One per relay channel
Q1-Q4,4,S8050,SOT-23/TO-92,NPN relay drivers,
D1-D4,4,1N4007,DO-41,Flyback diodes,Across each relay coil
K1-K4,4,SRD-05VDC-SL-C,THT relay,5V SPDT 10A,Switch mains loads (recommend <=6A/ch resistive)
RV1,1,7D471K,disc,MOV 470V,Mains surge clamp
F1,1,6A slow-blow,5x20 holder,Mains fuse,Total board load
SW1-SW4,4,Tactile 6mm,THT,Per-channel manual buttons,
SW5,1,Tactile 6mm,THT,BOOT/config button,Hold for Wi-Fi setup
LED0,1,Green 3mm,THT,Power/online,
LED1-LED4,4,Blue 3mm,THT,Channel status,
J1,1,2P 5.08mm,terminal,Mains input L/N,
J2,1,5P 5.08mm,terminal,4x switched-L out + common N,Loads
JP,1,3P 2.54mm,header,UART (TX/RX/GND),Factory flashing
R1-R16,16,10k/1k/330,0805,Pull-ups/base/LED resistors,
C1,1,1000uF/10V,electrolytic,5V bulk (relay inrush),
C2,1,100uF/6.3V,electrolytic,3.3V rail,
C3-C8,6,100nF,0805,Decoupling,
PCB,1,2-layer FR4 1.6mm,-,Main board,>=8mm mains-LV creepage; 2oz Cu; relay pads wide
ENC,1,ABS enclosure (modular/DIN option),-,Wall box,Light-pipes + button caps
