Ref,Qty,Value/Part,Package,Description,Notes
J1,1,2P 5.08mm,terminal,Mains input L/N,230VAC
F1,1,T500mA 250V,5x20 holder,Mains fuse,Slow-blow; primary protection
RV1,1,7D471K,disc,MOV 470V,Mains surge clamp
CX1,1,100nF X2 275VAC,film X2,EMI differential-mode filter,Safety-rated
D1-D4,4,S1M 1000V 1A,SMA,Bridge rectifier,Four discretes
C1,1,4.7uF/400V,electrolytic,Bulk / DC link,~1uF per watt at 230VAC
T1,1,EE13 flyback 1.4mH,EE13,Isolated flyback transformer,Reinforced insulation; 4kV hipot
U1,1,TNY274PN,DIP-8,Offline switcher (700V MOSFET),TinySwitch-III
C2,1,100nF/50V,0805,BYPASS pin decoupling,Close to U1
R1-R2,2,100k,0805,RCD snubber resistors,Two in series for voltage rating
C3,1,1nF/1kV,0805,RCD snubber capacitor,
D5,1,UF4007,SMA,Clamp catch diode,Fast recovery
D6,1,S1M,SMA,Bias winding rectifier,
C4,1,10uF/50V,electrolytic,Bias rail,
D7,1,SS34 40V 3A,SMA,Secondary rectifier,Schottky
C5,1,470uF/10V,electrolytic,5V output bulk,Low ESR
C6,1,100uF/10V,electrolytic,5V post filter,
C7,1,100nF/50V,0805,5V HF decoupling,
PC1,1,PC817,DIP-4,Feedback optocoupler,Crosses the isolation barrier
U2,1,TL431,SOT-23,Shunt voltage reference,Sets the 5V setpoint
R3,1,1k,0805,Opto LED series resistor,
R4,1,10k,0805,Feedback divider upper,
R5,1,3k3,0805,Feedback divider lower,5V = 2.5V x (1 + R4/R5)
CY1,1,2.2nF Y1 250VAC,disc Y1,Barrier Y capacitor,Y1 safety-rated ONLY
U3,1,AMS1117-3.3,SOT-223,5V -> 3.3V LDO,Secondary-side post-regulator
C8,1,100uF/6.3V,electrolytic,3.3V bulk,
C9,1,100nF/50V,0805,3.3V HF decoupling,
J2,1,3P 5.08mm,terminal,DC output 5V / 3V3 / GND,To the host board
PCB,1,2-layer FR4 1.6mm,-,Main board,>=8mm primary-secondary creepage; slot under T1
