Ref,Qty,Value/Part,Package,Description,Notes
U1,1,ESP32-WROOM-32E (4MB),SMD module,Wi-Fi/BLE MCU module,Main controller
PS1,1,HLK-PM03 (5V 3W),SIP,230VAC -> 5VDC isolated PSU,4 relay coils + logic
U2,1,AMS1117-3.3,SOT-223,5V -> 3.3V LDO,MCU rail
U3-U6,4,PC817,DIP-4,Opto-isolators,One per relay channel
Q1-Q4,4,S8050,SOT-23,NPN relay drivers,
D1-D4,4,1N4007,DO-41,Flyback diodes,Across each coil
K1-K4,4,SRD-05VDC-SL-C,THT relay,5V SPDT 10A,Switch mains loads (<=6A/ch)
FB1,1,Active buzzer 5V,THT,Gas / safety alarm,IO27
TP1-TP4,4,Copper pad + decal,-,Capacitive touch,Local override per channel
RV1,1,7D471K,disc,MOV 470V,Mains surge clamp
F1,1,6A slow-blow,5x20 holder,Mains fuse,
LED0,1,Green 3mm,THT,Power/online,
LED1,1,Red 3mm,THT,Alarm / status,IO2
SW1,1,6mm tactile,THT,Reset / BOOT,IO0
J1,1,2P 5.08mm,terminal,Mains input L/N,
J2,1,3P 5.08mm,terminal,Switched-L outputs + common N,Loads 1-2
J3,1,3P 5.08mm,terminal,Switched-L outputs + common N,Loads 3-4
J4,1,4P 2.54mm,header,Gas sensor (5V/AO/DO/GND),MQ-x module
J5,1,3P 2.54mm,header,PIR module OUT/GND,Occupancy
J6,1,3P 2.54mm,header,DHT climate sensor + sensor 5V,Temp/humidity
JP,1,3P 2.54mm,header,UART (TX/RX/GND),Factory flashing
R1-R16,16,10k/1k/330,0805,Pull-ups/base/LED resistors,
C1,1,470uF/10V,electrolytic,5V bulk,
C2,1,100uF/6.3V,electrolytic,3.3V rail,
C3-C8,6,100nF,0805,Decoupling,
PCB,1,2-layer FR4 1.6mm,-,Main board,>=8mm mains-LV creepage; 2oz Cu
ENC,1,ABS DIN/surface (UL94 V-0),-,Distribution-board enclosure,Vented for the gas sensor
