Ref,Qty,Value/Part,Package,Description,Notes
U1,1,ESP32-WROOM-32E (4MB),SMD module,Wi-Fi/BLE MCU module,Main controller
U3,1,MP1584 buck,module/SMD,12V -> 5V DC-DC,Logic rail
U2,1,AMS1117-3.3,SOT-223,5V -> 3.3V LDO,MCU rail
PC1,1,PC817,DIP-4,Opto-isolator,Relay drive
Q1,1,S8050,SOT-23,NPN relay driver,
K1,1,SRD-05VDC-SL-C,THT relay,5V SPDT 10A,Switch 12V lock
D1,1,1N4007,DO-41,Flyback (relay coil),
D2,1,1N5408,DO-201,Flyback (lock coil),Across solenoid
D3,1,SS34,SMA,Reverse-polarity,Vin
F1,1,3A,1206 fuse,Input fuse,
SW1,1,Tactile 6mm,THT,Button / BOOT,
LED0,1,Green 3mm,THT,Power/online,
LED1,1,Violet 3mm,THT,Locked status,
J1,1,2P 5.08mm,terminal,12V in +/-,
J2,1,3P 5.08mm,terminal,Lock COM/NO/NC,
J3,1,2P 2.54mm,header,Door reed,
JP,1,3P 2.54mm,header,UART (TX/RX/GND),Factory flashing
R1-R8,8,10k/1k/330,0805,Pull/base/LED resistors,
Rsn/Csn,2,100R + 100nF,0805/film,RC snubber,Lock coil
C1,1,470uF/25V,electrolytic,12V bulk (inrush),
C2-C3,2,100uF,electrolytic,5V + 3.3V,
C4-C6,3,100nF,0805,Decoupling,
PCB,1,2-layer FR4 1.6mm,-,Main board,Tight coil loop
ENC,1,ABS box (UL94 V-0),-,Controller box,Near door frame
