Ref,Qty,Value/Part,Package,Description,Notes
U1,1,ESP32-WROOM-32E (4MB),SMD module,Wi-Fi/BLE MCU module,Main controller
PS1,1,HLK-PM01,SIP-4,230VAC -> 5VDC 3W isolated PSU,Mains power; keep primary isolation slot milled
U2,1,AMS1117-3.3,SOT-223,5V -> 3.3V LDO,MCU/sensor rail
U3,1,PC817,DIP-4,Opto-isolator,Isolates relay drive from MCU
Q1,1,S8050,SOT-23/TO-92,NPN transistor,Relay coil driver
D1,1,1N4007,DO-41,Flyback diode,Across relay coil
K1,1,SRD-05VDC-SL-C,THT relay,5V SPDT 10A relay,Drives external CONTACTOR coil only (never the motor)
RV1,1,7D471K,disc,MOV 470V varistor,Mains surge clamp
F1,1,2A slow-blow,5x20 holder,Fuse,Mains protection
FB1,1,BUZZER 5V,THT,Active buzzer,Dry-run/overflow alert
SW1,1,Tactile 6mm,THT,Manual override button,
SW2,1,Tactile 6mm,THT,BOOT/config button,Hold to enter Wi-Fi setup
LED1,1,Green 3mm,THT,Power/online LED,
LED2,1,Red 3mm,THT,Pump-on / alert LED,
J1,1,2P 5.08mm,terminal,Mains input L/N,
J2,1,2P 5.08mm,terminal,Contactor coil out (NO/COM),
J3,1,4P 3.5mm,terminal,Ultrasonic JSN-SR04T (5V/GND/TRIG/ECHO),Waterproof probe
J4,1,3P 3.5mm,terminal,Float switches (LOW/HIGH/COM),Dry contacts to GND
J5,1,3P 2.54mm,header,UART programming (TX/RX/GND) + EN/IO0,Factory flashing
R1-R6,6,10k/1k/330,0805,Resistors,Pull-ups, LED, base resistors
C1,1,470uF/10V,electrolytic,Bulk cap 5V rail,
C2,1,100uF/6.3V,electrolytic,3.3V rail,
C3-C6,4,100nF,0805,Decoupling,
PCB,1,2-layer FR4 1.6mm,-,Main board,>=8mm creepage mains-to-LV; HASL; 2oz Cu on mains traces
ENC,1,IP54 ABS enclosure,-,Wall-mount box,Cable glands for mains/sensor/floats
